Year	Date	Temperature(F)
1999	0826	91.9
1999	0827	91.9
1999	0828	91.9
1999	0829	91.9
1999	0830	93.0
1999	0831	88.0
2000	0801	91.4
2000	0802	93.2
2000	0803	89.6
2000	0804	88.0
2000	0805	91.0
2000	0806	91.9
2000	0807	91.9
2000	0808	93.0
2000	0809	93.0
2000	0810	91.0
2000	0811	91.9
2000	0812	NA
2000	0813	NA
2000	0814	NA
2000	0815	NA
2000	0816	NA
2000	0817	NA
2000	0818	NA
2000	0819	NA
2000	0820	NA
2000	0821	NA
2000	0822	86.0
2000	0823	NA
2000	0824	NA
2000	0825	NA
2000	0826	NA
2000	0827	77.0
2000	0828	NA
2000	0829	NA
2000	0830	NA
2000	0831	78.1
2001	0801	88.0
2001	0802	81.0
2001	0803	82.0
2001	0804	87.1
2001	0805	87.1
2001	0806	86.0
2001	0807	88.0
2001	0808	91.0
2001	0809	90.0
2001	0810	91.0
2001	0811	90.0
2001	0812	91.0
2001	0813	91.9
2001	0814	91.0
2001	0815	88.0
2001	0816	90.0
2001	0817	91.0
2001	0818	93.0
2001	0819	88.0
2001	0820	91.9
2001	0821	91.0
2001	0822	91.9
2001	0823	90.0
2001	0824	90.0
2001	0825	93.0
2001	0826	90.0
2001	0827	91.0
2001	0828	91.9
2001	0829	91.9
2001	0830	91.9
2001	0831	93.0
2002	0801	89.1
2002	0802	87.1
2002	0803	86.0
2002	0804	84.9
2002	0805	90.0
2002	0806	93.0
2002	0807	84.9
2002	0808	87.1
2002	0809	84.9
2002	0810	87.1
2002	0811	88.0
2002	0812	82.0
2002	0813	86.0
2002	0814	91.0
2002	0815	89.6
2002	0816	91.0
2002	0817	91.9
2002	0818	90.0
2002	0819	90.0
2002	0820	82.0
2002	0821	89.1
2002	0822	90.0
2002	0823	91.0
2002	0824	93.0
2002	0825	93.0
2002	0826	88.0
2002	0827	84.0
2002	0828	86.0
2002	0829	84.9
2002	0830	84.0
2002	0831	82.9
2003	0801	87.1
2003	0802	84.9
2003	0803	86.0
2003	0804	86.0
2003	0805	86.0
2003	0806	86.0
2003	0807	86.0
2003	0808	84.0
2003	0809	81.0
2003	0810	88.0
2003	0811	89.6
2003	0812	87.1
2003	0813	88.0
2003	0814	87.1
2003	0815	86.0
2003	0816	90.0
2003	0817	90.0
2003	0818	89.1
2003	0819	87.1
2003	0820	88.0
2003	0821	87.1
2003	0822	88.0
2003	0823	84.9
2003	0824	90.0
2003	0825	91.0
2003	0826	91.0
2003	0827	91.0
2003	0828	91.4
2003	0829	91.0
2003	0830	89.1
2003	0831	91.0
2004	0801	90.0
2004	0802	91.9
2004	0803	93.9
2004	0804	93.0
2004	0805	91.9
2004	0806	91.9
2004	0807	81.0
2004	0808	84.0
2004	0809	86.0
2004	0810	84.9
2004	0811	88.0
2004	0812	84.9
2004	0813	80.1
2004	0814	79.0
2004	0815	82.9
2004	0816	91.0
2004	0817	91.0
2004	0818	90.0
2004	0819	93.0
2004	0820	93.9
2004	0821	87.8
2004	0822	87.1
2004	0823	86.0
2004	0824	90.0
2004	0825	91.0
2004	0826	91.0
2004	0827	90.0
2004	0828	91.0
2004	0829	91.0
2004	0830	91.9
2004	0831	90.0
2005	0801	91.0
2005	0802	90.0
2005	0803	89.1
2005	0804	87.1
2005	0805	87.8
2005	0806	90.0
2005	0807	89.1
2005	0808	84.9
2005	0809	87.8
2005	0810	87.1
2005	0811	89.1
2005	0812	91.9
2005	0813	91.9
2005	0814	91.9
2005	0815	91.0
2005	0816	93.0
2005	0817	95.0
2005	0818	95.0
2005	0819	95.0
2005	0820	91.0
2005	0821	91.9
2005	0822	93.0
2005	0823	93.0
2005	0824	93.0
2005	0825	93.0
2005	0826	84.9
2005	0827	91.0
2005	0828	89.1
2005	0829	91.9
2005	0830	87.8
2005	0831	86.0
2006	0801	91.9
2006	0802	93.0
2006	0803	93.9
2006	0804	93.9
2006	0805	91.9
2006	0806	93.9
2006	0807	93.9
2006	0808	93.9
2006	0809	90.0
2006	0810	93.0
2006	0811	93.9
2006	0812	95.0
2006	0813	90.0
2006	0814	90.0
2006	0815	90.0
2006	0816	93.0
2006	0817	93.0
2006	0818	91.0
2006	0819	89.1
2006	0820	91.0
2006	0821	91.9
2006	0822	91.9
2006	0823	87.1
2006	0824	86.0
2006	0825	84.2
